"","State","StateFIPS","CountyFIPS","AreaName","Insurance Coverage"
"5907","GA",13,173,"Lanier County, Georgia",9862
"5908","GA",13,175,"Laurens County, Georgia",46839
"5909","GA",13,177,"Lee County, Georgia",27618
"5910","GA",13,179,"Liberty County, Georgia",58182
"5911","GA",13,181,"Lincoln County, Georgia",7633
"5912","GA",13,183,"Long County, Georgia",15583
"5913","GA",13,185,"Lowndes County, Georgia",108519
"5914","GA",13,187,"Lumpkin County, Georgia",30515
"5915","GA",13,189,"McDuffie County, Georgia",21291
"5916","GA",13,191,"McIntosh County, Georgia",13907
"5917","GA",13,193,"Macon County, Georgia",12285
"5918","GA",13,195,"Madison County, Georgia",28056
"5919","GA",13,197,"Marion County, Georgia",8639
"5920","GA",13,199,"Meriwether County, Georgia",21167
"5921","GA",13,201,"Miller County, Georgia",5774
"5922","GA",13,205,"Mitchell County, Georgia",20771
"5923","GA",13,207,"Monroe County, Georgia",25646
"5924","GA",13,209,"Montgomery County, Georgia",8591
"5925","GA",13,211,"Morgan County, Georgia",17704
"5926","GA",13,213,"Murray County, Georgia",39178
"5927","GA",13,215,"Muscogee County, Georgia",187046
"5928","GA",13,217,"Newton County, Georgia",101726
"5929","GA",13,219,"Oconee County, Georgia",34200
"5930","GA",13,221,"Oglethorpe County, Georgia",14546
"5931","GA",13,223,"Paulding County, Georgia",146738
"5932","GA",13,225,"Peach County, Georgia",26956
"5933","GA",13,227,"Pickens County, Georgia",29468
"5934","GA",13,229,"Pierce County, Georgia",18790
"5935","GA",13,231,"Pike County, Georgia",17545
"5936","GA",13,233,"Polk County, Georgia",40906
"5937","GA",13,235,"Pulaski County, Georgia",10047
"5938","GA",13,237,"Putnam County, Georgia",21081
"5939","GA",13,239,"Quitman County, Georgia",2326
"5940","GA",13,241,"Rabun County, Georgia",16067
"5941","GA",13,243,"Randolph County, Georgia",7197
"5942","GA",13,245,"Richmond County, Georgia",191649
"5943","GA",13,247,"Rockdale County, Georgia",86178
"5944","GA",13,249,"Schley County, Georgia",5074
"5945","GA",13,251,"Screven County, Georgia",13811
"5946","GA",13,253,"Seminole County, Georgia",8663
"5947","GA",13,255,"Spalding County, Georgia",62794
"5948","GA",13,257,"Stephens County, Georgia",25615
"5949","GA",13,259,"Stewart County, Georgia",4298
"5950","GA",13,261,"Sumter County, Georgia",30526
"5951","GA",13,263,"Talbot County, Georgia",6470
"5952","GA",13,265,"Taliaferro County, Georgia",1721
"5953","GA",13,267,"Tattnall County, Georgia",19424
"5954","GA",13,269,"Taylor County, Georgia",8193
"5955","GA",13,271,"Telfair County, Georgia",12523
"5956","GA",13,273,"Terrell County, Georgia",8883
"5957","GA",13,275,"Thomas County, Georgia",44122
"5958","GA",13,277,"Tift County, Georgia",40366
"5959","GA",13,279,"Toombs County, Georgia",26872
"5960","GA",13,281,"Towns County, Georgia",10636
"5961","GA",13,283,"Treutlen County, Georgia",6365
"5962","GA",13,285,"Troup County, Georgia",67435
"5963","GA",13,287,"Turner County, Georgia",7984
"5964","GA",13,289,"Twiggs County, Georgia",8419
"5965","GA",13,291,"Union County, Georgia",21270
