"","State","StateFIPS","CountyFIPS","AreaName","Total Population","Total Male","Total Female","Median Age","Median Age_Male","Median Age_Female"
"4801","FL",12,67,"Lafayette County, Florida",8801,5265,3536,"36.4","34.5","40.2"
"4802","FL",12,69,"Lake County, Florida",310561,150126,160435,"46.4","45.1","47.6"
"4803","FL",12,71,"Lee County, Florida",663675,325158,338517,"46.9","45.6","48.2"
"4804","FL",12,73,"Leon County, Florida",282940,134474,148466,"30.0","29.1","30.7"
"4805","FL",12,75,"Levy County, Florida",39821,19649,20172,"46.6","45.4","48.0"
"4806","FL",12,77,"Liberty County, Florida",8295,5140,3155,"37.6","36.7","39.4"
"4807","FL",12,79,"Madison County, Florida",18729,9869,8860,"41.5","39.5","44.2"
"4808","FL",12,81,"Manatee County, Florida",343729,166067,177662,"46.7","45.2","48.2"
"4809","FL",12,83,"Marion County, Florida",336811,161696,175115,"48.2","46.6","49.6"
"4810","FL",12,85,"Martin County, Florida",151586,74988,76598,"50.7","49.0","52.4"
"4811","FL",12,86,"Miami-Dade County, Florida",2639042,1280221,1358821,"39.0","37.5","40.5"
"4812","FL",12,87,"Monroe County, Florida",75901,40159,35742,"46.8","46.5","47.1"
"4813","FL",12,89,"Nassau County, Florida",75880,37485,38395,"44.2","43.3","45.1"
"4814","FL",12,91,"Okaloosa County, Florida",192237,97092,95145,"36.8","35.0","38.8"
"4815","FL",12,93,"Okeechobee County, Florida",39255,21176,18079,"39.9","39.2","41.2"
"4816","FL",12,95,"Orange County, Florida",1229039,603946,625093,"34.4","33.4","35.3"
"4817","FL",12,97,"Osceola County, Florida",300870,148030,152840,"35.7","34.2","37.2"
"4818","FL",12,99,"Palm Beach County, Florida",1378806,666577,712229,"44.1","42.3","45.8"
"4819","FL",12,101,"Pasco County, Florida",479288,232719,246569,"44.4","43.3","45.5"
"4820","FL",12,103,"Pinellas County, Florida",931477,446740,484737,"47.1","45.6","48.5"
"4821","FL",12,105,"Polk County, Florida",626676,307017,319659,"40.3","39.1","41.6"
"4822","FL",12,107,"Putnam County, Florida",72696,35825,36871,"44.1","43.0","45.6"
"4823","FL",12,109,"St. Johns County, Florida",210495,102338,108157,"42.7","41.8","43.8"
"4824","FL",12,111,"St. Lucie County, Florida",288006,140448,147558,"43.9","42.6","45.0"
"4825","FL",12,113,"Santa Rosa County, Florida",161021,82189,78832,"39.5","38.0","41.2"
"4826","FL",12,115,"Sarasota County, Florida",392038,187242,204796,"54.0","52.2","55.5"
"4827","FL",12,117,"Seminole County, Florida",437346,211546,225800,"39.1","37.1","40.5"
"4828","FL",12,119,"Sumter County, Florida",108501,55190,53311,"65.3","64.7","65.7"
"4829","FL",12,121,"Suwannee County, Florida",43595,21647,21948,"41.6","40.5","43.6"
"4830","FL",12,123,"Taylor County, Florida",22685,12781,9904,"41.2","39.2","44.5"
"4831","FL",12,125,"Union County, Florida",15191,9830,5361,"40.3","42.3","36.9"
"4832","FL",12,127,"Volusia County, Florida",503719,245481,258238,"46.3","44.5","47.9"
"4833","FL",12,129,"Wakulla County, Florida",31128,17366,13762,"40.0","39.5","40.3"
"4834","FL",12,131,"Walton County, Florida",59487,30176,29311,"43.6","42.4","45.1"
"4835","FL",12,133,"Washington County, Florida",24629,13478,11151,"40.9","39.5","43.1"
"5822","GA",13,1,"Appling County, Georgia",18417,9040,9377,"38.6","37.6","39.8"
"5823","GA",13,3,"Atkinson County, Georgia",8294,4090,4204,"34.9","34.8","34.9"
"5824","GA",13,5,"Bacon County, Georgia",11222,5638,5584,"37.1","35.6","37.9"
"5825","GA",13,7,"Baker County, Georgia",3292,1579,1713,"42.6","40.7","44.1"
"5826","GA",13,9,"Baldwin County, Georgia",45795,22776,23019,"34.1","34.6","33.6"
"5827","GA",13,11,"Banks County, Georgia",18336,9327,9009,"40.4","40.3","40.5"
"5828","GA",13,13,"Barrow County, Georgia",72012,36057,35955,"34.8","32.9","36.2"
"5829","GA",13,15,"Bartow County, Georgia",101336,50052,51284,"37.4","36.7","37.9"
"5830","GA",13,17,"Ben Hill County, Georgia",17477,8349,9128,"38.6","38.1","39.1"
"5831","GA",13,19,"Berrien County, Georgia",19019,9471,9548,"39.0","37.1","41.4"
"5832","GA",13,21,"Bibb County, Georgia",154816,73011,81805,"35.6","34.1","37.5"
"5833","GA",13,23,"Bleckley County, Georgia",12746,6099,6647,"37.3","35.8","38.9"
"5834","GA",13,25,"Brantley County, Georgia",18452,9134,9318,"39.0","37.7","39.6"
"5835","GA",13,27,"Brooks County, Georgia",15637,7686,7951,"41.4","38.9","44.8"
"5836","GA",13,29,"Bryan County, Georgia",33151,16205,16946,"35.1","34.3","35.9"
"5837","GA",13,31,"Bulloch County, Georgia",72386,35859,36527,"26.3","25.5","27.9"
